ts_run_iso,symbol,timeframe,price_time_iso,latest_close,live_price,action,bias,conviction,entry_zone,invalidation,targets,candle_signal,candle_score
2025-09-11T18:59:04.931190+00:00,SOL,1h,2025-09-11T18:00:00,226.13,226.13,long,bull,0.80,226.13 - 228.13,below 224.13,234.13|246.13,None,0.0
2025-09-11T18:59:04.931190+00:00,SUI,1h,2025-09-11T18:00:00,3.6046,3.6043,long,bull,0.75,above SMA200,below SMA50,4.25|5.00,Doji,0.0
2025-09-11T18:59:04.931190+00:00,BNB,1h,2025-09-11T18:00:00,894.5,894.49,long,bull,0.75,894.5 - 899.9,below 882.1,920.6|940.8,None,0.0
2025-09-11T18:59:04.931190+00:00,LTC,1h,2025-09-11T18:00:00,114.76,114.76,long,bull,0.73,114.00 - 116.50,below 112.50 or above 118.00,120.00|124.00,Doji,0.0
2025-09-11T18:59:04.931190+00:00,AVAX,1h,2025-09-11T18:00:00,28.98,28.98,long,bull,0.70,28.98 - 29.50,break below 28.30,29.65|30.20,Inside Bar,0.0
2025-09-11T18:59:04.931190+00:00,TRX,1h,2025-09-11T18:00:00,0.3452,0.3451,long,bull,0.70,0.3355 - 0.3455,Break below 0.3355 or RSI < 50,0.40|0.45,Inside Bar,0.0
2025-09-11T18:59:04.931190+00:00,LINK,1h,2025-09-11T18:00:00,23.77,23.77,long,bull,0.70,23.77 - 24.42,below 22.95,25.50|26.45,None,0.0
2025-09-11T18:59:04.931190+00:00,XRP,1h,2025-09-11T18:00:00,3.0291,3.0291,long,bull,0.70,above SMA200,below SMA50 or BBWidth contraction,SMA200|previous highs,None,0.0
2025-09-11T18:59:04.931190+00:00,ENA,1h,2025-09-11T18:00:00,0.7628,0.7628,long,bull,0.70,AboveSMA200 and RSI below 50,Close below SMA200 and MACD hist line,SMA200|RSI 70,None,0.0
2025-09-11T18:59:04.931190+00:00,PEPE,1h,2025-09-11T18:00:00,1.047e-05,1.047e-05,long,bull,0.75,1.00e-05 to 1.05e-05,break below 9.5e-06,1.10e-05|1.20e-05,Inside Bar,0.0
2025-09-11T18:59:04.931190+00:00,DOGE,1h,2025-09-11T18:00:00,0.25098,0.25098,long,bull,0.62,0.24500 - 0.25500,0.23500,0.27000|0.30000,None,0.0
2025-09-11T18:59:04.931190+00:00,ETH,1h,2025-09-11T18:00:00,4417.56,4417.55,short,bear,0.70,4414 - 4422,4425 - 4442,4396|4358,Bearish Engulfing,-3.0
2025-09-11T18:59:04.931190+00:00,ADA,1h,2025-09-11T18:00:00,0.8803,0.8803,long,bull,0.70,around 0.8803,if price breaks below 0.8500,0.9000|0.9200,None,0.0
2025-09-11T18:59:04.931190+00:00,ARB,1h,2025-09-11T18:00:00,0.5183,0.5183,long,bull,0.70,Inside Bar,Below SMA50 and MACD turns bearish,SMA200|BBWidth,Inside Bar,0.0
2025-09-11T18:59:04.931190+00:00,WLD,1h,2025-09-11T18:00:00,1.63,1.63,long,bull,0.70,above SMA200,below SMA50 or MACD turns down,1.66|1.71,None,0.0
2025-09-11T18:59:04.931190+00:00,BTC,1h,2025-09-11T18:00:00,114253.92,114253.93,long,bull,0.60,"114,300 - 114,600","break below 113,500","118,000|120,000",Bearish Engulfing,-3.0
2025-09-11T18:59:04.931190+00:00,FORM,1h,2025-09-11T18:00:00,2.6437,2.6437,long,bull,0.70,Inside Bar,SMA50 crosses SMA200 or RSI > 70,61.8% Fib Extension|78.6% Fib Extension,Inside Bar,0.0
2025-09-11T18:59:04.931190+00:00,WLFI,1h,2025-09-11T18:00:00,0.19,0.19,long,bull,0.70,above SMA200 and RSI < 30,RSI > 70 or MACD hist crosses above signal,0.23|0.28,None,0.0
2025-09-11T19:43:24.061009+00:00,SUI,1h,2025-09-11T19:00:00,3.6148,3.6148,long,bull,0.80,3.6 - 3.7,break below 3.5,3.8|4.1,None,0.0
2025-09-11T19:43:24.061009+00:00,BNB,1h,2025-09-11T19:00:00,896.73,896.73,long,bull,0.80,896.73,below 883.50,913.25|930.00,Inside Bar,0.0
2025-09-11T19:43:24.061009+00:00,XRP,1h,2025-09-11T19:00:00,3.0294,3.0297,long,bull,0.80,3.025-3.030,3.005,3.050|3.075,Inside Bar,0.0
2025-09-11T19:43:24.061009+00:00,SOL,1h,2025-09-11T19:00:00,226.55,226.55,long,bull,0.75,226.55-227.25,227.25,230|235,None,0.0
2025-09-11T19:43:24.061009+00:00,LTC,1h,2025-09-11T19:00:00,115.04,115.04,long,bull,0.73,117.00 - 119.00,115.50,123.00|125.00,None,0.0
2025-09-11T19:43:24.061009+00:00,PEPE,1h,2025-09-11T19:00:00,1.055e-05,1.055e-05,long,bull,0.80,1h bullish engulfing zone,RSI crosses below 30 or MACD histogram turns negative,next resistance level at SMA200|further upside to test all-time highs,Bullish Engulfing,3.0
2025-09-11T19:43:24.061009+00:00,WLD,1h,2025-09-11T19:00:00,1.634,1.635,long,bull,0.80,AboveSMA200,Close below SMA50,1.65|1.7,Bullish Engulfing,3.0
2025-09-11T19:43:24.061009+00:00,AVAX,1h,2025-09-11T19:00:00,29.0,29.0,long,bull,0.70,29.1-30.2,break below 28.6,31.3|32.4,None,0.0
2025-09-11T19:43:24.061009+00:00,DOGE,1h,2025-09-11T19:00:00,0.25167,0.25167,long,bull,0.70,0.2499 - 0.2555,break below 0.2473,0.2611|0.2686,None,0.0
2025-09-11T19:43:24.061009+00:00,TRX,1h,2025-09-11T19:00:00,0.3453,0.3453,long,bull,0.70,above SMA200,below SMA50 and BBWidth < 0.02,0.4000|0.4500,None,0.0
2025-09-11T19:43:24.061009+00:00,ENA,1h,2025-09-11T19:00:00,0.7629,0.7629,long,bull,0.70,0.7555 - 0.7600,0.7400 or below,0.7800|0.8000,Doji,0.0
2025-09-11T19:43:24.061009+00:00,ARB,1h,2025-09-11T19:00:00,0.5225,0.5225,long,bull,0.75,0.5200 - 0.5250,Below 0.5100,0.5350|0.5550,Bullish Engulfing,3.0
2025-09-11T19:43:24.061009+00:00,BTC,1h,2025-09-11T19:00:00,114408.33,114408.32,long,bull,0.63,AboveSMA200 & InsideBar,BelowSMA50,114500|115000,Inside Bar,0.0
2025-09-11T19:43:24.061009+00:00,PENGU,1h,2025-09-11T19:00:00,0.033653,0.033653,long,bull,0.60,0.0336 - 0.0354,0.0312,0.0381|0.0429,None,0.0
2025-09-11T19:43:24.061009+00:00,ADA,1h,2025-09-11T19:00:00,0.8816,0.8816,long,bull,0.65,0.8800 - 0.9000,0.8600,0.9200|0.9400,Inside Bar,0.0
2025-09-11T19:43:24.061009+00:00,FORM,1h,2025-09-11T19:00:00,2.6779,2.6782,long,bull,0.72,above SMA200,below RSI 30,SMA50|BB Upper Band,None,0.0
2025-09-11T19:43:24.061009+00:00,ETH,1h,2025-09-11T19:00:00,4426.01,4426.0,long,bull,0.60,above SMA200 and RSI above 50,below SMA200 or RSI below 50,4428|4450|4500,Inside Bar,0.0
2025-09-11T19:43:24.061009+00:00,LINK,1h,2025-09-11T19:00:00,23.89,23.89,long,bull,0.60,23.75 - 24.15,break below 23.5,25.2|26.8,None,0.0
2025-09-11T21:03:25.756977+00:00,ENA,1h,2025-09-11T20:00:00,0.7705,0.7705,long,bull,0.75,0.7705-0.7800,break below 0.7600,0.8000|0.8200,None,0.0
2025-09-11T21:03:25.756977+00:00,LTC,1h,2025-09-11T20:00:00,115.29,115.3,long,bull,0.73,115.29 - 114.55,Break below 113.50,117.00|120.00,None,0.0
2025-09-11T21:03:25.756977+00:00,AVAX,1h,2025-09-11T20:00:00,28.75,28.75,long,bull,0.72,28.5 - 29.2,below 27.9,30.1|31.4,None,0.0
2025-09-11T21:03:25.756977+00:00,SOL,1h,2025-09-11T20:00:00,225.56,225.56,long,bull,0.70,225.56 - 230.00,below 220.00,235.00|240.00,Marubozu,0.0
2025-09-11T21:03:25.756977+00:00,SUI,1h,2025-09-11T20:00:00,3.6139,3.6139,long,bull,0.70,3.60 - 3.65,<= 3.55 or >= 3.70,4.00|4.20,Doji,0.0
2025-09-11T21:03:25.756977+00:00,LINK,1h,2025-09-11T20:00:00,24.17,24.17,long,bull,0.70,24.17 - 24.25,below 23.92,25.15|26.10,None,0.0
2025-09-11T21:03:25.756977+00:00,PENGU,1h,2025-09-11T21:00:00,0.033758,0.033758,long,bull,0.70,inside bar breakout around SMA200,failure to close above SMA200 or RSI divergence detected,retest of SMA200|breakout above SMA50,Inside Bar,0.0
2025-09-11T21:03:25.756977+00:00,DOGE,1h,2025-09-11T20:00:00,0.25041,0.25041,long,bull,0.70,0.2480-0.2550,below 0.2400,0.2600|0.2700,Bearish Engulfing,-3.0
2025-09-11T21:03:25.756977+00:00,TRX,1h,2025-09-11T20:00:00,0.3455,0.3455,long,bull,0.70,0.3455 - 0.3520,below 0.3380,0.3620|0.3700,Doji,0.0
2025-09-11T21:03:25.756977+00:00,ETH,1h,2025-09-11T20:00:00,4418.07,4418.07,long,bull,0.70,4415-4422,break below 4400,4430|4460,"Bearish Engulfing, Inside Bar",-3.0
2025-09-11T21:03:25.756977+00:00,WLD,1h,2025-09-11T20:00:00,1.639,1.638,long,bull,0.70,Above SMA200 and BBWidth < 0.2,Break below SMA50 or RSI > 60,1.65|1.72,None,0.0
2025-09-11T21:03:25.756977+00:00,BTC,1h,2025-09-11T20:00:00,114420.0,114419.99,long,bull,0.60,above SMA200,below SMA50,SMA200|ATR,"Doji, Inside Bar",0.0
2025-09-11T21:03:25.756977+00:00,ARB,1h,2025-09-11T20:00:00,0.5218,0.5218,long,bull,0.65,0.5205 - 0.5231,0.5163,0.5288|0.5374,"Doji, Inside Bar",0.0
2025-09-11T21:03:25.756977+00:00,FORM,1h,2025-09-11T21:00:00,2.6864,2.6856,short,bear,0.72,below the 50-period SMA and RSI below 50,RSI above 60 or price above SMA200,SMA200,None,0.0
2025-09-11T21:03:25.756977+00:00,WLFI,1h,2025-09-11T20:00:00,0.1944,0.1944,long,bull,0.70,near 0.1944,break below 0.1883,0.1995|0.2056,None,0.0
2025-09-11T21:03:25.756977+00:00,BNB,1h,2025-09-11T20:00:00,897.33,897.33,long,bull,0.60,897.33 - 890.00,887.50,920.00|950.00,None,0.0
2025-09-11T21:03:25.756977+00:00,XRP,1h,2025-09-11T20:00:00,3.0131,3.0131,short,bear,0.60,3.0200,2.9900,2.8800|2.8200,Bearish Engulfing,-3.0
2025-09-11T21:03:25.756977+00:00,PEPE,1h,2025-09-11T20:00:00,1.056e-05,1.056e-05,wait,neutral,0.50,,,,Inside Bar,0.0
2025-09-11T21:03:25.756977+00:00,ADA,1h,2025-09-11T20:00:00,0.8822,0.8822,wait,neutral,0.30,,,,"Doji, Inside Bar",0.0
